書名,書籍網站,作者,出版社,ISBN,圖片網址,書籍簡介
CFD模擬分析應用於建築與城市,https://www.kingstone.com.tw//basic/2014450049043?zone=book&lid=book_class3_eil&actid=book_class3_eil,吳綱立,五南      ,9789577634948.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014450049043/2014450049043b.jpg,"

此書以生物氣候設計(Bioclimate design)及氣候因應設計(climate responsive design)的觀點切入，探討如何利用自然通風理念及CFD模擬分析方法與技術來改善建築、社區及城市片區的整體通風環境，並提出相關規劃設計策略與準則的建議。在全球氣候變遷的衝擊下，本書中所應用的模擬分析方法及多尺度案例分析的經驗，可對於生物氣候設計及生態城市和生態社區理念之實踐，提供一個新的規劃設計操作模式與方法論。經由理論與文獻分析、相關風土建築的案例分析，以及實際多尺度案例的CFD模擬分析與評估，本書對於如何落實生物氣候設計及自然通風理念於建築、社區及城市設計的專業操作，提出具體的建言，以期能協助發展出順應地區風環境特性，並能永續發展的社區空間發展模式與建築設計。
                    
"
給水與純水工程：理論與設計實務,https://www.kingstone.com.tw//basic/2014450037712?zone=book&lid=book_class3_eil&actid=book_class3_eil,陳之貴(編著),五南      ,9789571182872.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014450037712/2014450037712b.jpg,"


	1.濃縮了給水工程中不易熟記且高普考又常考的理論與設計用公式。

	2.詳列市場上可買得到的淨水設備規格尺寸，從處理水量大小查表，就可得知各種淨水設備的型號與規格尺寸。

	3.以實際興建完成的淨水廠來說明各種淨水處理的流程、各水池的大小及各種機電設備。

	4.提供近年來環工技師高考污水與給水考題及解答。

	5.附上給水、飲用水之相關法規，給設計者及使用者參考。

"
生態規劃設計理念在海峽兩岸土,https://www.kingstone.com.tw//basic/2014450048961?zone=book&lid=book_class3_eil&actid=book_class3_eil,吳綱立,五南      ,9789577634931.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014450048961/2014450048961b.jpg,"

本書介紹生態規劃設計理念的精神、核心價值及規劃設計原則，並透過相關土地開發管理與城鄉規劃機制的檢討，以及相關專業實踐案例經驗的評析，探討生態規劃設計理念在海峽兩岸的實踐經驗及可供借鏡或省思的地方。除了近十餘年來海峽兩岸相關案例經驗的評析與檢討之外，此書最後一章，也特別探討如何將一些新的觀念及方法論導入相關的生態城鄉規劃設計，以期能在全球化及快速都市化發展的趨勢下，協助建構出可永續發展的生態城鄉及生態社區。
                    
"
都市更新超簡單—危老及都市更新超簡單231問（2版）,https://www.kingstone.com.tw//basic/2013080023720?zone=book&lid=book_class3_eil&actid=book_class3_eil,林煌欽、蘇煜瑄、林志銘等,讀享數位  ,9789574641000.0,https://cdn.kingstone.com.tw/book/images/product/20130/2013080023720/2013080023720b.jpg,"

台灣新創都更集團，旗下品牌「台灣都更」、「台灣都更聯盟」、「台灣都更地政聯盟」、「台灣建築」、「台灣建築履歷」、「台灣都更─危老都更諮商中心」、「Angle Voice數位文創」等。全國首創「台灣都更」加盟總部全國建設、都市更新加盟業，唯一榮獲2019年台灣優良商標獎殊榮之優質企業。為台灣新創都更集團旗下創立全國第一個建設業、都市更新業的加盟品牌，台灣都更加盟新創服務平台，是為打破了曠日廢時的傳統建設及都更公司的營運模式，配合政府最新法規與台灣都市更新推動全國學會所規劃的從業人員認證專業知識技術，以加盟創新服務方式，希望提振長期委靡不振的都市更新產業，創造出一個新的產業生態系統，讓屋主及都市更新從業人員成為最大贏家。全國首創唯一提供六大安心安全保險及保障制度第一道保險：每案工地均強制投保工地險、讓老屋重建過程安全無死角第二道保險：每案工地均強制提撥「續建保證基金」，讓每案都獲得安全保障第三道保險：每案工地由台灣都更加盟總部提供「續建保證制度」，讓您安心有保障第四道保險：每案工地均強制執行「建築履歷」智財專利登錄，讓您安心又放心第五道保險：每案代工服務費強制提撥存入信託專戶擔保，讓您付費安全又安心第六道保險：華夏科大台灣都更產學中心公正第三方工程履歷查核，透明無黑箱「台灣都更」的優勢【台灣都更】業界唯一大規模鎖定小型基地重建的建設、都更平台。【台灣都更】是市場唯一大規模以「委建代工」方式，協助屋主自立更新，將傳統建商合建的利潤，回歸到屋主身上。【台灣都更】是業界唯一大幅讓利給第一線的合作夥伴，輔導合作夥伴成為建商的建設都更平台。台灣都更共創四贏效益一、業主（屋主）端　　1.委託安心　　2.過程透明二、台灣都更加盟總部　　1.深耕品牌　　2.口碑專業三、加盟主　　1.輕鬆推案　　2.系統創新四、合作廠商　　1.尊重受用　　2.案小量多
                    
"
這是一本都市更新法典,https://www.kingstone.com.tw//basic/2015215694539?zone=book&lid=book_class3_eil&actid=book_class3_eil,蘇煜瑄、林煌欽、楊庭安、何雨潔,讀享數位  ,9789578612273.0,https://cdn.kingstone.com.tw/book/images/product/20152/2015215694539/2015215694539b.jpg,"


	為什麼要買這本？作者告訴你

	都市更新條例自民國87年發布實施後，都市更新已成為政府的重要施政目標，國內30年以上的老舊建物藉由都市更新重建可保障居住安全、改善環境品質，及增進公共利益；而整建維護則藉由建物的改建、修建或充實設備，提升劣化的機能，延長使用年限。

	惟都市更新的推動涉及建築、都市計畫、地政、稅務與法律等多種專業領域，一般民眾很難全盤了解，最常見的有同意書與合約書的簽署、建築規劃設計與建材設備、權益分配、權利變換的計算、房屋車位的選配、補貼與補償等等。因此建議除了尋求相關專業者的協助外，自己也需要具備自身權益有關的都市更新相關法令知識。

"
行進！鐵支路：日治臺灣鐵道寫真,https://www.kingstone.com.tw//basic/2015570087502?zone=book&lid=book_class3_eil&actid=book_class3_eil,鄧志忠,蒼璧出版  ,9789869615631.0,https://cdn.kingstone.com.tw/book/images/product/20155/2015570087502/2015570087502b.jpg,"


	日本自1895年領臺後，著手規劃臺灣島內各項建設，希望使臺灣島內具備一定基礎建設，以利日本政府推行各項政策，其中鐵道建設就是重要的指標之一。我們可以看到日本統治臺灣近五十年的鐵道建設成果，總督府鐵道部下轄的官營鐵道，西部幹線從基隆可達潮州，1921年完工通車的海岸線（海線）鐵路可作為台中線（山線）的輔助線，古老的淡水支線肩負旅客運輸與經濟建設運輸所需，西部鐵路往南甚至可以看到計畫延伸至枋寮、修建東港支線，而東部鐵路自八堵至蘇澳也已完成，並且可以藉由海運及自動車路線（公路），連接花蓮港到台東的台東線，環島鐵路網漸漸成型，另外平溪支線與集集支線已經被鐵道部收購，納入支線運輸中。

	此一時期的鐵道路線，不屬於鐵道部直營的鐵道還有板橋到新店的新店線鐵路及中南部糖業鐵道、羅東森林鐵道與阿里山森林鐵道、台車軌道等，新店線由臺北鐵道株式會社經營，糖鐵鐵道則分由大日本、鹽水港、明治與臺灣四大糖業株式會社所掌握，營林所則負責森林鐵路的經營，這些產業鐵道除了負責原本鐵道建設所需的運輸任務之外，也兼負提供旅客搭乘的客運服務，另外由人力推駛的台車軌道線也由各私人軌道公司所經營。臺灣島內包羅萬象的軌道路線，雖然分別隸屬不同的公司，但也都受總督府鐵道部的監督與規範。二十世紀初期的臺灣島，在公路運輸尚未興盛的年代，堪稱為鐵道王國一點也不為過！

"
環境規劃與管理：系統理論、工具與應用,https://www.kingstone.com.tw//basic/2014450042389?zone=book&lid=book_class3_eil&actid=book_class3_eil,陳鶴文,五南      ,9789571196596.0,https://cdn.kingstone.com.tw/book/images/product/20144/2014450042389/2014450042389b.jpg,"


	為了使讀者在面對動態而複雜的環境問題時，能夠快速、清楚地掌握環境規劃與管理的重點與脈絡，本書以系統理論為核心，介紹各種系統性的評估、規劃、管理與控制方法，期使讀者能夠快速地解析環境問題的核心、同時擬定解決問題的程序與步驟，並具備選擇最佳化決策管理工具的能力。

"
挺身為環境,https://www.kingstone.com.tw//basic/2015850041668?zone=book&lid=book_class3_eil&actid=book_class3_eil,謝英士、高思齊,環品      ,9789869440905.0,https://cdn.kingstone.com.tw/book/images/product/20158/2015850041668/2015850041668b.jpg,"


	為什麼法律明明就有處罰環境犯罪，卻還是每天看到河川汙染、森林盜伐、盜採砂石、廢棄物濫倒的新聞？

	當法律規範無法被貫徹，再嚴格的立法都是一紙空言，我們只能眼睜睜看著大地一再被人類的慾望給蠶食鯨吞。

	十二位檢察官救環境的故事，帶您看見臺灣環境犯罪最黑暗、也最真實的一面。

"
我們都是氣候世代,https://www.kingstone.com.tw//basic/2015010011463?zone=book&lid=book_class3_eil&actid=book_class3_eil,謝英士、高思齊,環品      ,9789869413305.0,https://cdn.kingstone.com.tw/book/images/product/20150/2015010011463/2015010011463b.jpg,"


	二氧化碳最長可以在大氣中停留一百年。現在的氣候變化，是來自過去百年來累積的排碳結果，而我們現在每一秒的排碳，都會決定未來百年的子孫所看到的天空。所以這跨越兩百年的數個時代，就形成命運休戚與共的「氣候世代」。

	唯有採取「氣候行動」，才能為以後時代的人與萬物保留適宜的生存環境。而在採取行動之前，必須先「認識」我們身處的氣候環境。

	【我們都是氣候世代】收錄TEED臺灣環境教育對話平台過去三年、共14場的演講實錄，不單純談氣候現象，而是從科學、社會、森林、海洋、外交、人道、媒體等不同面向切入，從更高的高度、用更開闊的視野，嘗試勾勒出我們所處「氣候世代」的樣貌。

"
異質地方之營造：公共空間、校園以及社區營造,https://www.kingstone.com.tw//basic/2015450025426?zone=book&lid=book_class3_eil&actid=book_class3_eil,夏鑄九,唐山出版社,9789863071235.0,https://cdn.kingstone.com.tw/book/images/product/20154/2015450025426/2015450025426b.jpg,"


	異質地方一詞，目前，大衛‧哈維（David Harvey）與愛德華‧蘇雅（Edward Soja）等英語世界的地理學者之間，就米歇‧傅柯（Michel Foucault）的空間範疇是否是其早年遺留的康德主義認識論根源，一種實證主義式的真實空間，還有極不同的爭議。異質地方，已經由一個相對比較鬆散隨意的觀點，進一步考量主體的行動與都市的策略，建構為可能性的空間（spaces of possibilities），以及，設想為更批判性的、更正式表達出的、根植於社會規範之中，有政治與歷史異常意義的理論概念了。而這些理論辯論，與作者早年借取傅柯的異質地方概念的目的並不衝突。由於異質地方的理論範疇是選集中不同論文一再出現的空間概念，故以《異質地方之營造》為書名，本冊著重於公共空間、校園以及社區營造議題的探討與案例實作分享。

"
