ISBN,書籍簡介
4713510947067,"

★吳大猷科學普及著作獎第二屆金籤獎★金鼎獎自然與應用科學類優良圖書★國際物理年推薦「百大中文物理書」★科普閱讀年推薦「百大科普好書」你知道科學家是如何尋找外星人，帶領我們「接觸未來」的嗎？美國NASA是不是如我們想像中的，那麼高不可攀，那麼神祕？占星術與現代天文有沒有衝突？科學家又如何解釋占星原理呢？彗星到底會不會撞地球，天文學家如何觀測這神祕的星體呢？ 《孫維新談天》用最輕鬆卻清楚的語言，掀開天文學的神祕面紗，孫老師在談笑中，引領讀者置身浩瀚宇宙，見證各項天文任務。孫維新，一位「金鐘獎」級的大學教授、曾效力於NASA的天文學家；一位獲獎無數的科普作家、致力推廣天文知識的教育者；一位最受大學生歡迎的天文學老師、最令小朋友著迷的演講高手。他是很多人「認識星空」的啟蒙老師。他曾經在廣播中，無遠弗屆的為聽眾介紹浩瀚的天文知識；他也在屏東海生館頂樓建立墾丁天文台，每年辦理多梯次觀測研習營，為大學生與高中生打開天文視野；他更曾開辦系列科普演講，邀請各界專家演講介紹各領域科學發展。如果你參加過上述活動，那麼這本《孫維新談天》必能讓你重溫美好時光，再次跟隨孫老師上知天文，並深入瞭解科學內涵。如果你是天文門外漢，那麼《孫維新談天》更是你最佳的入門磚，它將開啟你的天文視界與遐想，你會發現天文學原來不只有十二星座與流星雨……
                    
"
9789577639844,"


	一起看星星

	天文觀測的最佳入門手冊，無論是在南半球或北半球都能使用。

	 

	-如何規劃你的觀星行程

	-你用肉眼可以看到什麼

	-如何選擇雙筒望遠鏡和望遠鏡，以及你用它們可以看到什麼

	-幫助你探索整個太陽系與銀河系

	-季節星圖、星座圖，還有值得尋找的特別天體

	 

"
9789577633422,"


☆中國星宿與西方星座的美麗邂逅
☆免費星空軟體stellarium獨家介紹
☆自家數位相機也能拍出美麗星空

	本書由眾人關心的生日星座說起，以便認識地轉天旋和四季星座的由來，同時介紹黃道、行星和歲差。
	星座神話有利於觀星、認星；四季星座口訣，也需因地制宜，本書都詳加探索。

	星座盤如何才能正確地使用，攸關觀星效果，本書除詳加介紹以外，更介紹如何下載免費實用的天文軟體stellarium，再以實例說明如何應用它看到即時的模擬星空，自定觀星時間與地點，將它用在探索宇宙的天文專題研究之中。最後亦介紹了如何使用數位相機拍攝美麗星空。

	「青龍、白虎、朱雀、玄武」是中國古代天文的思想架構，其實和西方說的是同一個星空！在這個東西文化交融的時代，讓我們一起來探究全世界人們一起看了五六千年的星空吧，莫因現代文明的昌盛而丟棄了觀象授時的典雅文化啊！

"
9789863317494,"


本書是星空神話的入門書，依四季介紹星座神話的著名場面

  

 你知道閃耀於夜空的星座都有各自的神話或傳說嗎?古人曾經仰賴星星來決定何時播種或收割，生活與星星息息相關，所以每天晚上都會仰望星空，之便開始連結這些星星，創造出一個又一個的星座。最終這些星座與希臘神話融合，成為以星座為主題的希臘神話。

  

 本書依四季分類，用美麗的星座繪畫與古星座圖等豐富的彩圖介紹神話的著名場面，以及流傳於世界各國的知名星座神話或傳說。在欣賞星座照片、閱讀星座神話的過程中，您一定會對星空產生深深的憧憬。

  

 對星座神話感興趣或是想知道神話趣聞的你，本書將是最佳選擇。

"
9789865515737,"


除了水逆好可怕，
	關於行星，你可以知道更多！

	打開牛津大學出版社最受歡迎通識讀本，
	跟著權威學者漫遊星際，
	用最簡明的方式了解行星的大小事！


	浩瀚宇宙，還有其它智慧生物嗎？
	除了地球，有其它行星適合人類居住嗎？

	本書從地球啟航，
	聊聊哥白尼、克卜勒、NASA與各項太空任務，
	介紹行星的基本特性、組成、運行狀態與種類，
	接著繞著太陽系，探索行星起源和演化，以及這些行星的現況。
	最後向外衝出，審視系外行星系統與是否存在生命，
	人類移居其他星球的可能性。

	透過簡明的敘述與圖表，
	你將建立關於行星與地質學的專業知識框架。

【關於牛津通識課】

	牛津通識課（Very Short Introductions，簡稱VSI）是牛津大學出版社（Oxford University Press）的系列叢書，秉持「為所有讀者提供一個可讀性強且包羅萬千的工具書圖書館」的信念，自1995年出版以來，該系列內容涉及歷史、神學、藝術、哲學、文學、醫學、自然科學、政治等數十多種領域，出版近七百本讀物。每一本書對應一個主題，都由該領域公認的專家撰寫，篇幅簡潔精煉，並提供進一步深度閱讀的建議，確保讀者讀完後能建立該主題的專業級知識框架。

	VSI系列上市以來取得了極大的成功，已被翻譯為二十五種語言，全球銷量超過一千萬冊，其中許多讀本被選為大學入門教材。

	「牛津通識課•宇宙篇」精選重力、行星、光與黑洞四個宇宙學最熱門、最基礎的主題，透過專業簡明的論述與圖表，迅速建立關於宇宙的知識架構。

"
9789865515744,"


除了蘋果砸牛頓頭上，
	關於重力，你可以知道更多！

	打開牛津大學出版社最受歡迎通識讀本，
	跟著權威學者穿梭宇宙，
	用最簡明的方式了解玄妙的重力！


	重力是自然界中四大基本力之一，
	是最古老、最弱和最難以量化的力量。
	它讓蘋果掉落在地，
	它讓具有質量的物體相互吸引，
	它型塑了宇宙。

	重力的交互作用是宇宙學的研究基礎，
	理解重力，
	對於探索地球上所有物體的運動、推導天體的運行乃至宇宙的擴張非常重要，
	也正是對於重力的研究，
	讓愛因斯坦對時間與空間的本質，有了突破性的認識。

	本書從亞里斯多德、伽利略、牛頓，聊到愛因斯坦與霍金，
	介紹重力理論的歷史演進，
	闡述重力如何產生，宇宙如何借助重力支配星體的運行，
	對於重力的各種驚人發現，又是如何不斷刷新我們對於時空的認知，
	最後介紹在理論物理學中，關於重力的各項先端研究。

	透過簡明的敘述與圖表，
	快速建立對重力的專業知識框架。

【關於牛津通識課】

	牛津通識課（Very Short Introductions，簡稱VSI）是牛津大學出版社（Oxford University Press）的系列叢書，秉持「為所有讀者提供一個可讀性強且包羅萬千的工具書圖書館」的信念，自1995年出版以來，該系列內容涉及歷史、神學、藝術、哲學、文學、醫學、自然科學、政治等數十多種領域，出版近七百本讀物。每一本書對應一個主題，都由該領域公認的專家撰寫，篇幅簡潔精煉，並提供進一步深度閱讀的建議，確保讀者讀完後能建立該主題的專業級知識框架。

	VSI系列上市以來取得了極大的成功，已被翻譯為二十五種語言，全球銷量超過一千萬冊，其中許多讀本被選為大學入門教材。

	「牛津通識課•宇宙篇」精選重力、行星、光與黑洞四個宇宙學最熱門、最基礎的主題，透過專業簡明的論述與圖表，迅速建立關於宇宙的知識架構。

"
9789865515768,"


除了吞噬星體，連光都不放過，
	關於奇異的黑洞，你可以知道更多！

	打開牛津大學出版社最受歡迎通識讀本，
	跟著權威學者跳脫時空，
	用最簡明的方式破解黑洞之謎！


	人類是如何發現黑洞的存在？
	黑洞真的完全是黑的？
	物質掉進黑洞會怎樣？
	如果一個黑洞掉入另一個黑洞，又會發生什麼事？

	「黑洞」是宇宙中最奇特的天體之一，
	也是人類想像力的極限之地。
	其神祕危險又充滿吸引力的形象，
	讓人們認為只要揭開黑洞之謎，就能找到關於宇宙形成的終極答案。

	本書從黑洞的形成與擴張、黑洞的本質與特徵開始說起，
	帶你穿梭各個星系，
	觀賞超巨大的「怪獸」黑洞與其引發的各種奇異現象，
	介紹與黑洞相關的理論基礎與研究發展。

	你將在超乎想像的遊歷過程中，
	建立關於黑洞的基礎知識框架。

【關於牛津通識課】

	牛津通識課（Very Short Introductions，簡稱VSI）是牛津大學出版社（Oxford University Press）的系列叢書，秉持「為所有讀者提供一個可讀性強且包羅萬千的工具書圖書館」的信念，自1995年出版以來，該系列內容涉及歷史、神學、藝術、哲學、文學、醫學、自然科學、政治等數十多種領域，出版近七百本讀物。每一本書對應一個主題，都由該領域公認的專家撰寫，篇幅簡潔精煉，並提供進一步深度閱讀的建議，確保讀者讀完後能建立該主題的專業級知識框架。

	VSI系列上市以來取得了極大的成功，已被翻譯為二十五種語言，全球銷量超過一千萬冊，其中許多讀本被選為大學入門教材。

	「牛津通識課•宇宙篇」精選重力、行星、光與黑洞四個宇宙學最熱門、最基礎的主題，透過專業簡明的論述與圖表，迅速建立關於宇宙的知識架構。

"
9789865515775,"


除了彩虹好繽紛，
	關於光，你可以知道更多！

	打開牛津大學出版社最受歡迎通識讀本，
	跟著權威學者尋光追影，
	用最簡明的方式了解光的奧祕！


	光是什麼？光能做什麼？

	光帶來能量，促成生命。
	光構築我們對於周遭事物的感知，挾帶周遭環境的訊息，
	從遙遠的星系，到我們體內的細胞，到個別的原子與分子。

	許多提升生活品質的技術以光為基礎，
	包括驅動網際網路、留存影像、觀察與操縱生物細胞。
	光更揭示全然陌生的量子世界，激發我們對世界的想像。

	人類真正開始理解光的時間不到一百年，
	各種研究與洞見至今仍不斷推陳出新。
	本書從光的奇異特性出發，涵蓋光漫長的歷史，
	和各種生活、醫療與科學上的廣泛應用，最終抵達量子光學領域。

	透過簡明的敘述與圖表，
	你將領略光的力量，建立關於光的專業知識框架。

【關於牛津通識課】

	牛津通識課（Very Short Introductions，簡稱VSI）是牛津大學出版社（Oxford University Press）的系列叢書，秉持「為所有讀者提供一個可讀性強且包羅萬千的工具書圖書館」的信念，自1995年出版以來，該系列內容涉及歷史、神學、藝術、哲學、文學、醫學、自然科學、政治等數十多種領域，出版近七百本讀物。每一本書對應一個主題，都由該領域公認的專家撰寫，篇幅簡潔精煉，並提供進一步深度閱讀的建議，確保讀者讀完後能建立該主題的專業級知識框架。

	VSI系列上市以來取得了極大的成功，已被翻譯為二十五種語言，全球銷量超過一千萬冊，其中許多讀本被選為大學入門教材。

	「牛津通識課•宇宙篇」精選重力、行星、光與黑洞四個宇宙學最熱門、最基礎的主題，透過專業簡明的論述與圖表，迅速建立關於宇宙的知識架構。

"
9789570856811,"


「只要我注視著滿天星空的運行軌跡，我的雙足便能離開地面。」─托勒密（Ptolemy）

	 

第一次有人如此描繪天空：

不只是恆星與行星的領域，更有諸多橫衝直撞的神鬼魍魎、天象魔法師、

飛翔的水手、中世紀外星人、神話生物與妖怪。

	 

	多國暢銷書《詭圖》（Phantom Atlas）、《寶圖》（Golden Atlas）的作者布魯克希欽，帶來一部遨遊諸天的視覺歷史。《天空地圖》收羅了各種宇宙圖、故事、繪畫與器物，勾勒出人類對於頂上天空與天空之外的想像與發現。

	 

	這本圖文並茂的天體圖寶藏，滿滿交織著歷史上最偉大的天文學發現，最奇特的傳說，以及為人所遺忘的篇章，化為一部美麗別緻、豐富趣味的星空大全。

	 

	書中從亞里斯多德開始，經過愛因斯坦的時代，直至最新的星際探索，此外更有古代的不明飛行物目擊紀錄、長著翅膀的月球生物「人蝠」、天空之外的廣闊大海，以及二十世紀初關於火星地圖的奇妙故事。讀者將踏上一段包羅萬象的旅程，行遍世界各地迷戀星辰的文化，遭遇古中國甲骨文、西藏天葬、西伯利亞舞衣與蒙古薩滿，一直到近代對於哈雷慧星的觀測、日食的攝影、冥王星的發現，以及近年來最振奮人心的影像——黑洞。

	 

	今日，隨著世人大膽探索宇宙的中心，眼下正是時候讓一本如夜空般瑰美的書，來擘劃這些探索成就的規模，襯托出即將到來的發現。

"
9789888484744,"

．為甚麼晚間新界比市區冷？．為甚麼有時機場在八號風球下運作如常，在三號風球下卻出現航班延誤？．如何利用天文台的雷達圖，預測大雨將至？．全球暖化下，香港還有沒有冬季？．颱風的名字是如何決定的？以前漁民懂得觀看雲的變化預測天氣，隨著遙感科技進步，網上資訊公開，我們可以利用天文台提供的雷達圖動畫，自行評估甚麼時候下雨，甚至預測雨勢、會否出現雷暴或冰雹，及早更改戶外行程或做好準備。近年厄爾尼諾及全球暖化引起廣泛關注。厄爾尼諾是赤道太平洋海水溫度出現異常，繼而影響全球天氣的周期性現象。海洋和大氣息息相關，海水變暖引致對流活動增加，雲量及雨量上升，大氣環流亦產生改變。在全球暖化的背景下，極端天氣出現頻率有上升趨勢。人類生活在大自然中，需要作出適應和配合，而不是埋怨惡劣天氣帶來麻煩。只要大家掌握了基本天氣常識，在天文台發出警告前，也可以睇天做人﹗香港地下天文台成立25年，為香港第一個天氣網站，現時facebook專頁粉絲逾18萬。本書入選教育局推出的「2020暑期閱讀計劃」中學書目名單。增訂版除了更新了近3年的天氣資訊，更新增四篇文章，例如針對新冠肺炎疫情而新寫的〈疫情對天氣預報準確性的影響〉等。
                    
"
