ISBN,書籍簡介
9789866343865,"

分門別類的魔法世界史，讓你用點播的心情讀歷史！世界之大，一堆文化永遠記不住？各種歷史變化總在腦中乾坤大挪移？痛恨亂七八糟散落各處的革命與戰爭紀錄？沒時間整理筆記，就讓《魔法世界史》幫助你回憶。本書由上古、中古、近代、現代四個時間點，以及國別、文化兩大主題精要整理世界史，輕鬆好讀無負擔。小巧的尺寸便於攜帶，可隨時隨地針對自己的弱項查閱背記；輕薄的頁數捨去冗言贅字，翻開即見最精華充實內容，適合考前快速複習。
                    
"
9789866343728,"

本書特色分門別類的魔法中國史，讓你用點播的心情讀歷史！朝代接續、政治局勢永遠記不住？各種歷史變化總在腦中乾坤大挪移？痛恨亂七八糟散落各處的歷朝制度？沒時間整理筆記，就讓《魔法中國史》幫助你回憶。本書從政治、經濟、文化、社會、制度各個角度精要整理中國史，輕鬆好讀無負擔。小巧的尺寸便於攜帶，可隨時隨地針對自己的弱項查閱背記；輕薄的頁數捨去冗言贅字，翻開即見最精華充實內容，適合考前快速複習。 

"
9789862284261,"


善用年表來閱覽世界文化演變的歷史
時序脈絡不混淆，一讀就通！


►文化史搭配正史，全方位理解歷史從古至今的演變

	閱讀世界史時，是不是時常覺得好像少了一個環節沒說清楚呢？
	缺少的正是文化史，許多歷史事件的導火線都與「文化」相關，
	若不了解每一階段的文化演變，讀起來就會感到模糊不清，
	因此閱讀建議搭配服用文化史，讓你讀歷史不再覺得朦朦朧朧！

►依照發生年代排序，時間線清楚不混亂

	相信許多人在閱讀歷史時，常常感到時序混亂，不知道自己到底看了什麼，深有同感的朋友，請打開這本書，這些煩惱都將是小CASE。本書以年表為主，大事欄為輔，在年表看到有什麼想更深入了解的事件，就可以直接瀏覽詳細內容，時序排得整整齊齊，讓你讀歷史不再被年代數字弄得身心疲憊！

►跳脫艱深的文字，以親民直白的語氣來詳述文化史發展，看歷史就好像在看故事一樣

	歷史文字本身就稍微有點艱澀，有時會需要多讀幾次才能在腦中消化，但在「多讀幾次」的過程中，就會耗盡人的耐性。為了達成看一次就懂的目標，本書以輕鬆的語氣來敘述描寫重要的歷史大事，讓讀者讀歷史能像看故事般快速理解！

本書特色

★    全書分成五個章節，年表搭配歷史記事，內容詳細、脈絡清楚
	以年表貫穿全書，詳細記錄事件發生時間與地點，並於大事欄詳細記述重要史事的前因後果，就算從頭到尾一口氣讀完本書，回想起來也不會覺得混淆不清。

★    以全彩插畫取代歷史圖片，輕鬆活潑不嚴肅
	全書採用全彩插畫來代替隨處可見的歷史圖片，使歷史文字跳脫艱深嚴肅的印象，能以輕鬆愉悅的心情來閱讀的圖文書。

"
9789866384288,"


【從石器時代到數位時代的世界歷史進程】


	古埃及為什麼會出現高度發展的文明？古羅馬人可能遇到維京人嗎？現今的南美洲人為什麼大多操持西班牙語或葡萄牙語？到底是什麼原因，驅使這麼多人要遠渡重洋，抵達世界的另一端追尋新生活？

	跟隨書中詳細的歷史年表，從650萬年前來到現在，找尋這些問題的答案！

	本書描繪歷史上的關鍵人物、主題、事件，以及歷史上的兒童生活、來自過去的話語、令人驚異的事實與數據──這些面向集合起來，呈現人類世界的歷史全貌。

本書特色

	．穿越時空回到過去，探究到底是哪些歷史人物、哪些歷史事件，造就了現今世界的面貌！

	．藉由時間軸和豐富的彩色圖片，帶領讀者走進時光隧道─從人類最原始的工具，到最先進的數位科技─讓過去的一切在眼前重生。

	．重大的歷史事件以特輯呈現─例如「法國大革命」或「美國民權運動」─並介紹事件中的關鍵人物。

	．展現歷史上不同時代兒童的真實生活，讓小讀者能夠身歷其境。

	．涵蓋1,500張以上的照片、插畫、地圖或圖表，帶領讀者穿越世界歷史的每一個時代、看見一年又一年的變化。

"
9789864490202,"


本書以工具書的型式呈現一部橫跨六千年的西洋通史。

	 

	全書以歐洲史為軸心，自西元前四千年近東和埃及地區等西方文明源頭的發展，以迄現代全球化的國際社會現勢，採大事編年與紀事本末的混合體書寫，對每個時代中重要事件及人物功績做簡要記載，是一本認識西方與世界歷史必備的工具書。

	 

	本書附錄增列歐洲歷史分期表、歷代教宗簡表、人文藝術界的百大名家、世界20大知名博物館、重要國際組織與會議等資訊。

"
9789862283592,"


閱讀世界史時，

各個地區的歷史容易感到混淆嗎？

本書一目了然地區分

大事發生的年代、地區及詳細記事

讓讀者輕鬆掌控各國歷史脈絡，一讀就通！

	 

	簡單區分發生的年代、地區及記事，使世界史井然有序，不再混亂 

	本書主要以年表貫連全書，分為古代史、中世紀史、近代史及現代史等四部分，順時序，串聯各個時期的史實、人物、文獻典籍及宗教藝術等，簡單、快速了解世界歷史的來龍去脈，不再越讀越霧煞煞。

	 

歷史記事軼聞與史實交錯，有趣又好記

	從歷史中挑選百多餘件重要事件，於大事欄以趣味故事的方式詳細敘述前因後果，讓讀者好似身歷其境。除了可以當作一般休閒讀物來看，對於準備應考的學生亦可幫助其加深印象，更好記憶！

	 

全彩插畫穿插其中，輕鬆活潑不嚴肅

	本書採用全彩插畫替代隨處可見的歷史圖片，不僅增加讀者於閱讀上的新鮮感，也能跳脫艱澀的歷史文字，使歷史不再是正經嚴肅的文字敘述，而是以輕鬆愉悅的圖文來呈現。

	 

本書特色

	 

	多達200張彩圖，輔助閱讀、清晰易懂

	本書穿插多張插圖，讓歷史不再死氣沉沉，鮮明又有趣！

	 

	精選134件大事，以輕鬆口吻詳細敘述完整始末，有趣不乏味

	本書精選多件大事，輔助閱讀年表，清楚明瞭、好記憶！

"
9789862723111,"

懂得運用年表，世界歷史一讀就通！發揮「年表」的優點──視覺化，時間點清楚，線性發展明白，方便查詢；配合「歷史事件始末敘述」──掌握來龍去脈，瞭解前因後果，置身歷史現場，閱讀趣味高；結合「編年體」與「紀事本末體」兩大特色，相互對照，這是你案頭必備工具書。本書特色◎上起遠古，下迄西元二○一二年，依時代分為八章，每章有一總說。◎年表標示西元、地區、時代，繫以世界歷史事件，包括各國的王朝興衰、君王更替、戰役、改革、政爭、動亂、重要人物等；並有中國歷史大事直接對照。◎一百六十餘條世界歷史重要事件始末敘述，標題清楚，敘事明白，與年表呼應。◎以時間為經，事件為緯，一本方便查詢、適合學生與一般大眾閱讀的世界歷史工具書。本書有助於：1.學生讀者解決世界歷史綜觀學習上的困難，加強歷史的時間概念，同時提供中西歷史對照，是有用的參考工具書，也可以是有助於歷史學習的課外讀物。2.歷史愛好者對於重大事件的線性整理與時期範疇歸納。3.一般民眾可快速查閱，並中西對照，以解決世界歷史事件時間定位點上模糊不清的困擾。4.對世界歷史有興趣的讀者，快速、有效理解重要歷史事件的發展始末。5.對世界歷史有興趣並想學好的讀者，藉由視覺化的表現形式，結合「紀年體」與「紀事本末體」的特色，兩相呼應，內化世界歷史常識與概念，是案頭必備工具書。
                    
"
9789861208268,"

懂得運用年表，中國歷史一讀就通！發揮「年表」的優點──視覺化，時間點清楚，線性發展明白，方便查詢；配合「歷史事件始末敘述」──掌握來龍去脈，瞭解前因後果，置身歷史現場，閱讀趣味高； 結合「編年體」與「紀事本末體」兩大特色，相互對照，這是你案頭必備工具書。全書特色：◎上起遠古，下迄民國一百年，依朝代分十五章，每章有一總說。◎年表標示西元、朝代、帝王年號，繫以中國歷史事件，包括朝代興衰、帝王更替、戰役、改革、政爭、變亂、將相人物等；西洋歷史大事直接對照。◎二百二十餘條中國歷史重要事件始末敘述，標題清楚，敘事明白，與年表呼應。◎以時間為經，事件為緯，一本方便查詢、適合學生與一般大眾閱讀的中國歷史工具書。本書有助於：1.學生讀者解決中國歷史綜觀學習上的困難，加強歷史的時間概念，同時提供中西歷史對照，是有用的參考工具書，也可以是有助於歷史學習的課外讀物。2.歷史愛好者對於重大事件的線性整理與時期範疇歸納。3.一般民眾可快速查閱，並中西對照，以解決中國歷史事件時間定位點上模糊不清的困擾。4.對中國歷史有興趣的讀者，快速、有效理解重要歷史事件的發展始末。5.對中國歷史有興趣並想學好的讀者，藉由視覺化的表現形式，結合「紀年體」與「紀事本末體」的特色，兩相呼應，內化中國歷史常識與概念，是案頭必備工具書。本書特色本書透過「時間軸」、「定點標示」、「歷史事件始末敘述」三大元素，幫助讀者如學生、歷史愛好者、一般讀者，掌握歷史事件的時間定位點、線性發展、時期範疇，以及重要歷史事件的完整背景與來龍去脈。全書特色條列如下：1.以年表為主的中國歷史書籍，沿襲編年史的體例，多以表列，標年月日以記載大事，純屬工具書性質，非常實用，但毫無閱讀樂趣可言。本書發揮「年表」所長，並補其所短，為特定的主題，量身打造兼具「有用」與「有趣」的歷史工具書。2.全書設計出一個「時間軸」（西元、中國朝代、帝王、年號），貫穿全書，以表現出歷史長河與時間的流動、演變。3.中國歷史重大事件，包括朝代興衰、帝王更替、戰役、改革、政爭、變亂、將相人物等等，在時間軸上定點標示，或是呈現時間範疇。4.重大歷史事件在與時間軸相對應下，有完整的始末發展敘述。5.西方歷史重大事件的對照。目前此形式的相關書籍，規劃有三書：《用年表讀通中國歷史》、《用年表讀通中國文學史》、《用年表讀通中國文化史》。
                    
"
9789575528935,"

「認識台灣歷史大事年表」共有兩面，每面都有其不同的閱讀重點。台灣的歷史發展在大致上可以被區分成史前時代、三國至明代、國際競爭、鄭氏治台、清領、日本殖民以及中華民國在台灣7個時期，由於每個歷史事件發生時，都有各自的時間、執政者以及國號紀年，因此，常常會遇到「時間錯亂、順序顛倒」的麻煩，年表的正面是以國立編譯館「認識台灣」教科書為基礎，將教科書中所提及的台灣歷史事件一一抽出，再依事件發生時的「西元年」先後順序條列編排，重新歸類在這7個時期之下，對照每個時期執政者的輪替，若按照年表上的事件順序閱讀後，就可以清楚了解台灣歷史發生當下的時代背景概念以及輕鬆釐清每一個事件之間互相影響的邏輯。年表的背面內容則是以主題式的整理歸納為主，一共設定8個主題，有原住民14族分布圖、明清行政區的沿革、清領時期的事件及影響、台灣的建置與沿革、清領時期的重要水圳、戒嚴時期的民主運動、歷任正副總統、兩岸互動等等。此系列年表尚有「中國歷史大事年表」、「外國歷史大事年表」、「中外歷史大事年表」三種。
                    
"
9789861780399,"

從拿起石矛的那一刻，人類就開始了一場生存戰爭，與猛獸對抗；文明開展之後，人類為了搶奪地盤與水資源，展開城邦之戰；迄至今日，為了石油和國際間千奇百怪的原因，都可以變成世界大戰的導因。在戰爭的人為災禍之外，瘟疫乾旱和洪水地震乃至於沙塵暴等自然災難，卻也一刻不曾遠離過人們的生活空間。本書針對人類史上重要戰役和世紀大浩劫的種種形態，設計出數百道問題來解惑—— 它能告訴你的，除了知識之外，還有更多！！

"
