ISBN,書籍簡介
3893608267954,0
3893608267886,0
4712839709165,"

九年一貫課程一綱多本，各家版本差異頗大，尤其在國中教育會考試題越來越靈活的前提下，本社根據教育部公布「國民教育九年一貫課程綱要」精編國中教育會考模擬題本系列叢書，俾便提供考生練習。有鑑於考生國中教育會考之需，經綜合各版本教科書彙整重點精華，並配合學力試題趨勢，以歷屆基本學測考題為基礎，並有系統的統合歸納精心編纂而成，必定能夠有效掌握國中教育會考的新方向。由於國中教育會考命題著重思考、分析、理解能力，因此本書各回試題均附有解析，使同學更能充分了解，透過充分的演練，必能提升應考實力。在對於第一次面對升高中國中教育會考考生而言，營造了更多的精進機會及必備條件，請與我們攜手並進，共創成功的願景！
                    
"
9789862243374,"

針對任何考試的準備，當然平時基礎扎根的努力不可少，然而「演練考古題」卻也不失為一個相當不錯的方式。本書精心蒐集了歷年來臺灣各主要地區在「自然科學資優」教育領域中，九年級（國中）升十年級（高中）的「科學班」及「數理資優班」的「入班鑑定試題」，提供有興趣朝資優學習領域發展的莘莘學子們一項寶貴的備考資源。自然科學包含「物理」、「化學」、「生物」、「地球科學」四大科。本人（張鎮麟）創立「鎮麟自然科學中心」，集合全國最優秀的四大科師資團隊——「鎮麟物理」、「王宇化學」、「姜孟希、殷琴生物」、及「也飛地科」聯合編寫本書中「歷年資優入班鑑定」試題詳解，希望能提供同學們多元思考解題的方向和方法。所謂「資優試題」，通常每一題都可能有「多種解法」，所以建議參閱本書的同學一開始絕對要先行自己思考，然後親自動手解題，遇到困難或瓶頸的時候再參考詳解。畢竟，養成具有「獨立思考力」及「創造力」的人材，才是發展資優教育的真正目的。
                    
"
9789865874261,"


 上課想睡覺，去補習又聽不懂？
 筆記作得很詳盡，考試還是忘得一乾二淨？
 別擔心，宅在家就能讀好數學！
 想要高分不必靠別人教，
 這本不用他人指導也能完全理解的總複習書，
 讓你從此不再囫圇吞棗，用自己的步調征服大小考，
 絕對是你下課後偷偷增強實力最好的選擇。
 大會考生物，靠這本就夠了！

  

◎10分鐘高手考前秘笈＋會考與特招關鍵最重點精選例題
 →彙整極重點複習精華，一本在手輕鬆掌握會考出題趨勢。

  

◎學習樹枝圖＋條理分明的內容整理＋詳盡的解題與思考流程
 →釐清學習脈絡，培養獨立思考的解題能力。

  

◎精選月考題＋歷屆考古題＋預測會考題
 →由基礎的月考題開始，重重演練，逐漸提升解題功力。

  

◎題題詳解，輕鬆對照
 →教學經驗豐富的老師將其獨門解析無私大公開，讓同學宅在家也能輕鬆自學。

"
9789577638076,"

本書將國中理化三冊約十八章的內容，依其性質分為六大章，以輕鬆詼諧的筆法，結合各種生活小常識，並輔以各種圖表，從最基礎的基本測量開始，介紹學習理化必備的各種基本概念，如聲、光、水、電、熱、酸醎中和、質量守恆定律等；每章前後並附有前言及結語，提醒同學需注意的重點及容易犯的錯誤，幫助讀者快速釐清各種易混淆的觀念。作者集合教學團隊教師群，以其豐富的教學經驗搭配輕鬆活潑的詞彙，沒有難題、沒有艱深理論，正是國中新鮮人最需要的理化啟蒙書。
                    
"
4712839709653,"

九年一貫課程一綱多本，各家版本差異頗大，尤其在國中教育會考試題越來越靈活的前提下，本社根據教育部公布「國民教育九年一貫課程綱要」精編國中教育會考主題式統整評量系列叢書，俾提供學生練習。有鑑於考生對國中教育會考之需，綜合各家版本教科書重點精華為經，歷屆基本學測考題為緯，有系統的以主題式統整評量，藉由試題演練更加了解重點所在，提升考生實力。由於國中教育會考命題著重思考、分析、理解能力，如何在有限的時間，完整複習國中三年課程，一直是教師及學生的煩惱，隨著本書的問世，一切問題將迎刃而解！本書雖經細心校訂，疏誤在所難免，容有未當尚祈教界先進指正，不勝感激。
                    
"
4712839709103,"

十二年國教實施以來，因為入學條件逐年變動，提高了小學畢業生將來就讀學校的不確定性，造成許多家長的恐慌。家長唯恐小朋友在免試入學的制度下無法進到理想的中學就讀，因此選擇升學績效卓著的私立中學。然而，辦學品質受到肯定的私立中學，招生人數有限，入學競爭往往非常激烈，學校會以各種方式篩選入學新生。本書針對小六學生參加私立中學入學測驗，以及國一新生入學後的分班能力測驗，精心搜集編製「自然科」模擬試題，共有綜合測驗15回，每回40題測驗題，書後並附有詳解，方便學生參考學習。經由本書的練習，可以熟悉私中入學的測驗題型，使參加考試的同學在測驗中取得佳績。此外，本書也適合作為國小課程的總結複習，以及國中一年級的預習教材。
                    
"
4712839708823,"

九年一貫課程一綱多本，各家版本差異頗大，尤其在國中教育會考試題越來越靈活的前提下，本社根據教育部公布「國民教育九年一貫課程綱要」精編國中會考重點精華系列叢書，俾提供學生練習。有鑑於考生對國中教育會考之需，綜合各家版本教科書之精華為經，歷屆國中會考考題為緯，有系統的重點整理，藉由試題演練，更加了解重點精華所在，提升考生實力。由於國中教育會考命題著重思考、分析、理解能力，如何在有限的時間，完整複習國中三年課程，一直是教師及學生的煩惱，隨著本書的問世，一切問題將迎刃而解！本書雖經細心校訂，疏誤在所難免，容有未當，尚祈教界先進指正，不勝感激。
                    
"
9789866187377,"


極機密！
 依據教育部頒布九年一貫能力指標與特殊管道資訊編制
 囊括歷年全國基測試題＋趨勢模擬測驗題

  

 由補教界權威名師，依據最新國民中小學課程綱要，加以參考市面上各版本教材，以符合「一綱多本」原則，並完全針對全國基測測驗題型編寫而成。本書依課程學習單元主題式收編，讓考生能依循個人熟稔生疏章節，自我安排主題式學習進程，以達全面掌握各科精髓。

  

 本書適用於國三總複習後段全力衝刺的階段，各單元的測驗題分為二大部分：第一部分為「歷年基測試題」觀摩，第二部分為依據國中基本學力測驗題型所模擬編撰的「趨勢測驗題」。在書末除附上正確答案外，亦針對難題解說加以詳述，便於同學自修精進。

"
