ISBN,書籍簡介
9789869896047,"


贏戰系列，讓你運籌帷幄，決勝千里之外！
●近8年學測歷屆試題，掌握最新考情，不走冤枉路！
●題題名師精解，突破學習盲點，提升解題實力！
●採用Arima Models預測模擬出題，命中必考趨勢！
●雙效複習計畫，強化學習效率不求人！
４大迎戰策略，助你輕鬆贏戰學測！

百家爭鳴，誰與爭鋒

	歷屆試題乃鑑古知今的最佳良方，透過演練了解歷年大考命題趨勢，依出題走向調整準備方向，除了節省猜題、找題的功夫，亦是同學豐富的題庫來源，以期在有限的時間內做足準備，迎戰人生的重要關卡。因此一本好的工具書絕對是考生最迫切的需求，為了讓莘莘學子面對大考還能從容以對，《戰學策》系列以貼近使用者需求的角度，設計七大特色，陪同考生一同邁向勝利的終點！

	1.近8年歷屆試題：分量在精不在多，時間有限的情況下，準備就要講求效率。有鑑於此，本系列採用近8年歷屆試題，抓住最新命題趨勢，絕對滿足只想精準複習的考生。

	2.題解分離解答本：網羅各大名師參與，題題詳解，以獨到而精闢的觀念深入剖析每道題目，替同學解惑，讓同學「知其然，更知其所以然」，並採用題解分離的解答本形式，方便同學對照訂正。

	3.各年度五標級分：每年度附該年度頂標、前標、均標、後標、底標五標平均分數級距，同學可自行演練後找出分數落點，藉此強化較薄弱的觀念或科目，平衡五科應考實力。

	4.仿真模擬試題：掌握大考出題趨勢，預測模擬出題，在正式應考前讓同學體驗一次擬真的作答情境。

	5.雙效複習計畫表：提供兩種面向的考前複習計畫表，讓不擅長安排時間的同學可以按表操課，如實完成演練進度。時間管理強的同學也能按自身能力分配複習時間。

	6.年度邊條索引：大考在即，眼下正是一刻千金的時期，貼心的邊條設計，讓爭分奪秒的考生能迅速找到目標年度進行複習，節省寶貴的光陰。

	7.時來運轉大富翁：利用「大富翁」的概念，結合了國、英、數、自、社等各類題目所設計的小遊戲，除了可以消除考試緊張的壓力外，還能藉此提升學習的趣味性。

	鴻漸文化本著對每本書的專業要求，同時亦勉勵讀者不斷的超越自我，也期望輕鬆有效率的學習方式，能成為青青子衿們通往下個人生關卡的助力。

本書特色

	1.收錄近8年歷屆試題，有效掌握最新趨勢
	2.獨立解答本，題解對照最方便
	3.各年度五標級分，找出分數落點，平衡五科應考實力　
	4.仿真模擬試題，模擬正式應考情境
	5.雙效複習計畫卡，加強時間管理
	6.年度邊條索引，節省查找時間
	7.時來運轉大富翁遊戲，遊戲結合問題，提升學習趣味

"
9789869194693,"

1. 超效率快速學測重點複習2. 小單元擬真試題3. 學測擬真試題
                    
"
9789862243558,"

本書完全根據部頒最新課程，以及大考中心公佈之「測驗目標」與「測驗內容」編寫，涵蓋現行坊間各版本教科書精華，能大幅提升同學們的「國語文能力」！一.新式大考需知二.學測與指考之比較三.複習要領和答題技巧(1)選擇題(2)非選擇題（國文寫作能力測驗）四.備考建議(1)學科能力測驗(2)指定科目考試
                    
"
9789570919462,"


	在少子化的衝擊下，近年學生透過多元入學管道升學的比例大增，103學年度甄試及申請錄取率已超過52%，顯示甄選躍居升大學主流。「學科能力測驗」不僅是大學甄選入學的基本門檻，許多校系更將國文科列為第一順位評比，甚至加乘計分。

	《最新版國文科學測歷屆試題解析》題本之出版，以考古題檢測同學們對國文的理解程度，每選擇題皆題題詳解，非選擇題更拆解寫作步驟及高分技巧，以佳文範例幫助同學提升寫作能力。歷屆試題外，更收錄兩回全真模擬試題，全數根據大學入學考試中心命題標準編寫，有效幫助讀者備戰考試，獲得高分。

本書特色

	聚焦考點：收錄十年考題，厚植答題實力
	精闢解析：詳盡完整解析，破解考點關鍵
	引導寫作：提示答題要領，晉升寫作技巧
	實戰演練：全真模擬試題，正中學測滿分

	※附2回模擬試題，增添應考實戰！

"
9789862241622,"

☆重點整理去蕪存菁，瀏覽記憶效率高！☆大考趨勢完全掌握，方向正確易得分！☆歷屆學測試題觀摩，鑑往知來戰力強！☆新式題型模擬演練，臨陣磨槍一級棒！
                    
"
9789862242216,"

筆者根據親編「近二十年來國文學測試題」的解題經驗與心得，發現其命題方式確實有著一定的程式法則，且往往在題幹中，就提示了「解題密碼」，只要同學們能掌握住此關鍵，就能輕鬆得到高分。本書盡量選用歷屆試題做為範例和練習題，除了依單元分類整理之外，更是題題逐一詳解，詳解中更富含許多「解題祕訣」，請同學們一定要反覆研讀吸收此部份，才能大幅提升臨場應試戰力！
                    
"
9789862243121,"

★附1回模擬試題掌握命題趨勢 精研5年學測試題建立考場信心 確實模擬2回測驗
                    
"
9789862242834,"

本書重點:大考中心明白揭示「一綱多本」的命題方式為：「以課程綱要所列之主要概念為原則，並依據考科的測驗目標設計試題」。所以本書以此為基礎，引導考生回歸課本，先針對高中國文「95課綱40篇古文」、「99課綱30篇古文」、「一～四冊」重要內容作統整復習，再從課本出發，從核心向外擴展，兼顧複習的廣度與深度。如此系統性地複習，必能使考生的學習更有效率、複習更有成效！　　每一個單元結束都搭配一份「實力提升試題」（含精選歷屆試題、精編模擬試題），此部份主要提供考生複習成效檢測，同時提升臨場戰力！
                    
"
9789862242438,"

本書完全針對大學入試「學科能力測驗」命題之題型分類整理，同時列舉具代表性的歷屆試題為例，詳細解析各種解題技巧。本書編寫主要目的如下：(1) 幫助同學瞭解並掌握命題趨勢，複習效果事半功倍不浪費時間！(2) 幫助同學熟悉學測各種題型，增加臨場的解題手感，提升解題速度！(3) 幫助同學建立足夠自信，臨場能以平常心將原本實力百分百發揮！「學測~國文考科」的命題取材大部份來自「課外」，其「決勝關鍵」有二：「關鍵一」優質的國文程度(需要穩紮穩打的日積月累)「關鍵二」正確的解題技巧(可藉由研讀本書體會活用)
                    
"
9789862243459,"

■	國文歷屆「學科能力測驗」試題完整收錄！■	名師整理歸納，逐題精闢剖析，詳實解說！■	熟悉考古試題，掌握學習重點和命題趨勢！■	確實逐題演練，臨場應試答題戰力大躍進！
                    
"
